Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
renewable energy,50000,0%,0%,Low,10,14.90,54.94
renewable energy sources,50000,0%,0%,Low,17,14.79,34.13
green energy,50000,0%,0%,Low,12,17.58,58.27
renewable resources,50000,0%,0%,Low,1,18.92,66.60
alternative energy sources,5000,0%,0%,Low,11,16.68,39.13
types of renewable energy,5000,0%,0%,Low,7,17.81,58.27
alternative energy,5000,0%,-90%,Low,7,19.51,47.45
renewable energy examples,5000,0%,0%,Low,5,16.71,33.30
new energy source,500,0%,0%,Low,22,17.75,59.94
renewable energy resources,5000,0%,0%,Low,12,16.65,34.96
sustainable energy sources,500,0%,0%,Low,19,11.65,34.13
sustainable energy,5000,0%,0%,Low,13,11.21,34.91
green energy electricity,50,0%,0%,Low,6,,
energy sources,5000,0%,0%,Low,1,26.64,92.40
renewable energy systems,50000,0%,0%,Low,0,13.32,40.79
clean energy sources,500,0%,0%,Low,17,15.44,38.29
renewable energy sources examples,5000,900%,900%,Low,13,15.99,29.97
us renewable energy,50,0%,0%,Low,29,62.43,332.15
benefits of renewable energy,500,0%,0%,Low,18,5.83,35.80
energy resources,50000,-90%,-90%,Low,2,14.05,73.78
renewable energy definition,5000,0%,0%,Low,2,13.67,33.30
advantages of renewable energy,5000,0%,0%,Low,12,6.66,35.80
renewable resources examples,50000,0%,0%,Low,1,15.12,34.13
clean energy electricity,50,0%,0%,Low,3,,
renewable energy technology,500,0%,0%,Low,17,6.66,30.80
importance of renewable energy,5000,900%,0%,Low,20,6.66,34.13
alternative electricity sources,50,0%,0%,Low,18,13.67,39.13
renewable sources,5000,0%,0%,Low,7,15.24,36.63
define renewable,500,0%,0%,Low,1,4.99,332.15
alternative energy systems,50,0%,0%,Low,0,,
renewable energy solutions,500,0%,0%,Low,13,12.49,43.29
renewable energy projects,5000,0%,0%,Low,18,14.03,32.47
alternative power sources,50,0%,0%,Low,6,12.42,54.94
types of renewable energy sources,500,0%,0%,Low,6,16.71,39.13
forms of renewable energy,5000,0%,0%,Low,7,17.81,58.27
renewable energy and climate change,500,0%,0%,Low,15,9.99,39.13
renewable energy facts,500,-90%,-90%,Low,11,13.67,34.96
solar renewable energy,5000,0%,0%,Low,3,13.30,54.94
new renewable energy sources,500,900%,0%,Low,26,15.09,41.62
different types of renewable energy,500,0%,0%,Low,7,15.41,40.79
energy green,50,0%,0%,Low,12,,
10 advantages of renewable energy,500,0%,0%,Low,16,6.66,39.13
types of energy sources,5000,0%,0%,Low,0,14.98,114.05
green energy sources,50000,0%,0%,Low,17,14.79,34.13
renewable electricity,500,0%,0%,Low,4,11.44,39.13
best renewable energy,50,0%,0%,Low,14,14.76,39.13
renewable energy world,500,0%,0%,Low,7,16.19,47.45
sustainable energy examples,500,0%,0%,Low,11,15.45,29.14
alternative energy resources,5000,0%,0%,Low,11,16.68,39.13
renewable solar,50,0%,0%,Low,6,18.31,102.39
new energy technology,50,0%,0%,Low,8,6.66,19.15
non renewable energy,5000,0%,0%,Low,1,14.31,54.94
types of clean energy,5000,0%,0%,Low,7,17.81,58.27
renewable energy meaning,5000,0%,0%,Low,2,13.67,33.30
sustainable energy systems,50,0%,0%,Low,30,75.53,332.15
renewable energy paragraph,50,0%,0%,Low,18,16.69,39.13
green renewable energy,500,0%,0%,Low,9,16.37,58.27
re energy,50,0%,900%,Low,0,,
future of renewable energy,500,0%,0%,Low,17,14.15,34.96
renewable energy article,500,0%,0%,Low,29,10.51,39.13
clean energy technology,500,0%,0%,Low,16,12.39,39.13
about renewable energy,500,0%,0%,Low,28,10.38,39.96
introduction to renewable energy,500,0%,0%,Low,20,13.13,39.13
renewable energy statistics,50,0%,0%,Low,10,15.83,49.95
new renewable energy technology,500,0%,0%,Medium,35,12.49,42.45
renewable energy industry,500,0%,0%,Low,8,15.82,56.80
green energy examples,500,0%,0%,Low,9,15.27,32.47
future energy sources,500,0%,0%,Low,27,14.98,38.71
clean energy examples,500,0%,900%,Low,10,14.70,36.63
renewable energy websites,50,-90%,0%,Low,32,18.28,278.04
renewable and nonrenewable resources,50000,0%,0%,Low,0,15.45,58.27
eco friendly energy sources,500,0%,0%,Low,13,16.54,39.13
green energy technology,500,0%,0%,Low,12,13.14,32.66
us clean energy,500,0%,0%,Low,26,125.81,349.63
new renewable energy,50,0%,-90%,Low,10,14.98,58.27
renewable energy information,500,0%,0%,Low,27,14.38,39.13
sustainable electricity,50,900%,900%,Low,7,11.59,29.14
non renewable energy sources,5000,0%,0%,Low,1,14.63,48.28
renewable energy climate change,500,0%,0%,Low,15,9.99,39.13
renewable energy by country,500,0%,0%,Low,3,14.15,40.79
types of green energy,5000,0%,0%,Low,7,17.81,58.27
pros of renewable energy,50,0%,0%,Low,25,6.66,29.14
the importance of renewable energy,50,0%,0%,Low,18,8.32,36.63
natural energy sources,5000,900%,900%,Low,1,20.21,63.27
renewable energy for home,50,0%,0%,Low,13,12.47,34.96
new clean energy,50,0%,0%,Medium,57,,
clean renewable energy,50,0%,0%,Low,8,15.65,58.27
renewable energy and non renewable energy,5000,0%,0%,Low,1,14.31,54.94
renewable energy development,50,900%,900%,Low,24,9.16,33.30
list of renewable energy,500,0%,0%,Low,8,17.93,58.27
renewable and nonrenewable energy,5000,0%,0%,Low,1,14.31,54.94
transition from fossil fuels to renewable energy,50,0%,0%,Low,28,10.38,20.81
renewable energy options,50,0%,0%,Low,18,13.63,33.30
future renewable energy technology,50,0%,0%,Low,29,9.16,35.49
renewable power,500,0%,0%,Low,5,16.65,39.13
renewable and non renewable energy,50000,0%,0%,Low,0,15.45,58.27
uses of renewable energy,500,0%,0%,Low,12,9.16,33.30
best renewable energy source for the future,50,0%,0%,Medium,37,13.32,33.71
green energy meaning,500,0%,0%,Low,1,11.53,38.29
renewable technology,50,-90%,0%,Low,4,5.83,58.27
renewable energy sector,500,0%,0%,Low,8,15.82,56.80
sustainable energy resources,500,0%,0%,Low,19,11.65,34.13
electricity alternatives,50,0%,0%,Low,7,15.82,25.99
new sources of energy for the future,50,0%,0%,Medium,38,15.82,35.80
types of renewable resources,5000,0%,0%,Low,5,19.33,39.13
clean energy resources,50,0%,0%,Low,17,17.57,48.28
all types of renewable energy,50,0%,0%,Low,1,,
united nations renewable energy,50,0%,0%,Low,11,17.48,170.65
renewable energy sources definition,5000,0%,-90%,Low,3,13.20,29.97
all renewable energy sources,50,0%,0%,Low,7,20.46,166.49
alternative renewable energy sources,50,0%,0%,Low,21,15.23,48.28
alternative energy sources for home,50,0%,0%,Medium,54,13.63,37.46
green power is better because,50,0%,0%,Unknown,,,
different renewable energy sources,500,0%,0%,Low,20,16.54,38.29
alternative forms of energy,50,0%,0%,Low,2,,
