Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
renewable energy,INR,50000,0%,0%,Low,10,14.90,54.94,,,,,,,,,,,,,,,,,
sustainability,INR,50000,0%,0%,Low,2,10.68,28.25,,,,,,,,,,,,,,,,,
sustainable development goals,INR,50000,-90%,0%,Low,10,15.81,166.47,,,,,,,,,,,,,,,,,
sdg,INR,50000,0%,0%,Low,5,40.79,166.47,,,,,,,,,,,,,,,,,
sdg goals,INR,50000,-90%,0%,Low,7,23.31,166.47,,,,,,,,,,,,,,,,,
un sustainable development goals,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
esg reporting,INR,5000,0%,0%,Low,15,11.65,499.38,,,,,,,,,,,,,,,,,
sustainable development,INR,500000,0%,0%,Low,9,10.82,24.14,,,,,,,,,,,,,,,,,
united nations sustainable development goals,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
green energy,INR,50000,0%,0%,Low,12,17.57,58.27,,,,,,,,,,,,,,,,,
circular economy,INR,50000,0%,0%,Low,11,4.44,18.31,,,,,,,,,,,,,,,,,
geothermal heating,INR,500,0%,0%,Low,2,4.16,24.69,,,,,,,,,,,,,,,,,
17 sustainable development goals,INR,50000,0%,0%,Low,10,16.77,166.47,,,,,,,,,,,,,,,,,
solar power system,INR,5000,0%,0%,Medium,51,7.86,28.96,,,,,,,,,,,,,,,,,
geothermal energy,INR,50000,0%,0%,Low,2,5.83,53.27,,,,,,,,,,,,,,,,,
clean energy,INR,5000,0%,0%,Low,9,15.98,56.60,,,,,,,,,,,,,,,,,
solar energy companies,INR,5000,0%,0%,Low,8,13.32,64.92,,,,,,,,,,,,,,,,,
un sdg,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
renewable energy sources,INR,50000,0%,0%,Low,17,14.79,34.13,,,,,,,,,,,,,,,,,
eco friendly cleaning products,INR,500,0%,0%,High,77,8.35,38.72,,,,,,,,,,,,,,,,,
eco friendly packaging,INR,5000,0%,0%,Low,32,9.82,64.92,,,,,,,,,,,,,,,,,
sustainable packaging,INR,5000,0%,0%,Low,15,5.83,64.92,,,,,,,,,,,,,,,,,
home solar power system,INR,5000,0%,0%,High,89,2.46,18.31,,,,,,,,,,,,,,,,,
eco friendly products,INR,5000,0%,0%,Medium,41,5.83,21.92,,,,,,,,,,,,,,,,,
electricity for business,INR,50,0%,0%,Low,4,2.67,14.98,,,,,,,,,,,,,,,,,
climate action,INR,5000,0%,0%,Low,4,9.99,173.13,,,,,,,,,,,,,,,,,
17 sdgs,INR,5000,0%,0%,Low,8,55.77,205.59,,,,,,,,,,,,,,,,,
global goals,INR,500,0%,0%,Low,4,109.04,371.23,,,,,,,,,,,,,,,,,
sdg goals list,INR,5000,0%,0%,Low,10,15.81,166.47,,,,,,,,,,,,,,,,,
solar power companies,INR,500,0%,0%,Low,16,11.21,59.93,,,,,,,,,,,,,,,,,
carbon neutral,INR,5000,0%,0%,Low,6,2.44,69.92,,,,,,,,,,,,,,,,,
un goals,INR,500,0%,0%,Low,5,72.42,222.24,,,,,,,,,,,,,,,,,
sustainability goals,INR,5000,0%,0%,Low,10,14.15,166.47,,,,,,,,,,,,,,,,,
renewable energy companies,INR,5000,0%,900%,Low,18,17.48,72.74,,,,,,,,,,,,,,,,,
cost of solar,INR,500,0%,0%,Low,17,2.48,12.61,,,,,,,,,,,,,,,,,
un sustainability goals,INR,500,0%,0%,Low,11,24.14,228.90,,,,,,,,,,,,,,,,,
solar power station,INR,500,0%,0%,Low,12,1.06,31.22,,,,,,,,,,,,,,,,,
geothermal,INR,5000,0%,0%,Low,0,5.83,17.48,,,,,,,,,,,,,,,,,
