Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
tata solar panel,INR,5000,0%,0%,Medium,37,1.19,21.30
solar power,INR,50000,0%,0%,Low,6,5.25,53.35
power solar company,INR,500,0%,0%,Low,16,11.21,59.94
solar system company,INR,500,0%,0%,Low,24,6.94,53.91
solar panel near me,INR,5000,0%,0%,Low,16,4.01,39.96
solar electricity,INR,5000,0%,0%,Low,18,6.13,43.03
solar energy,INR,50000,0%,0%,Low,6,12.49,54.94
green power,INR,5000,0%,0%,Low,2,18.31,66.60
solar system near me,INR,500,900%,900%,Low,11,4.23,43.29
solar energy system,INR,5000,0%,0%,Low,16,6.56,32.87
solar panel manufacturers,INR,5000,0%,0%,Low,14,8.09,26.28
solar for home,INR,50000,0%,0%,High,89,5.24,19.15
solar power for homes,INR,5000,0%,900%,High,92,5.01,34.79
solar electric system,INR,5000,0%,0%,Low,33,5.96,23.95
solar panel for home,INR,50000,0%,0%,High,89,5.24,19.15
rooftop solar,INR,50000,0%,900%,Low,15,4.74,22.63
solar project,INR,5000,0%,0%,Low,6,7.17,70.02
solar system for home,INR,5000,0%,0%,High,89,2.46,18.31
solar panel,INR,500000,0%,0%,High,81,4.27,17.66
solar energy companies,INR,5000,0%,0%,Low,8,13.32,64.93
solar power plant,INR,50000,0%,0%,Low,6,5.83,18.70
renewable energy companies,INR,5000,0%,900%,Low,18,17.48,72.75
house solar system,INR,5000,0%,0%,High,89,2.46,18.31
tata solar panel price,INR,5000,0%,0%,Medium,44,1.36,16.56
solar power for house,INR,500,0%,0%,High,82,4.01,21.03
solar power system,INR,5000,0%,0%,Medium,51,7.86,28.96
solar plant,INR,5000,0%,0%,Low,8,3.63,13.31
solar panels for business,INR,500,0%,0%,Low,30,3.71,15.97
solar panel system for home,INR,5000,0%,0%,High,89,2.46,18.31
virtual power plant,INR,500,0%,0%,Low,5,38.97,148.16
solar companies,INR,5000,0%,0%,Low,16,9.99,65.77
power energy,INR,500,-90%,0%,Low,1,18.31,92.41
solar panels for home cost,INR,50000,0%,900%,High,93,3.80,13.43
solar farm,INR,5000,0%,0%,Low,3,4.64,40.88
green energy solar,INR,500,0%,0%,Low,7,16.00,58.27
sun energy,INR,5000,900%,0%,Low,1,27.47,166.50
solar panel distributor,INR,500,0%,0%,Low,29,4.30,20.27
solar information,INR,500,0%,0%,Low,7,5.83,40.79
power purchase agreement,INR,500,0%,0%,Low,1,6.24,293.04
solar power solutions,INR,5000,-90%,0%,Low,11,5.52,43.29
solar energy companies near me,INR,500,0%,0%,Low,7,15.27,88.89
on grid solar system,INR,5000,0%,0%,Low,15,5.44,19.25
solar power energy,INR,500,0%,0%,Low,4,6.29,55.78
solar technology,INR,5000,0%,0%,Low,8,5.83,58.27
get solar,INR,50,0%,0%,Low,9,,
solar panel companies,INR,5000,0%,900%,Low,18,6.12,58.27
solar system price,INR,5000,0%,0%,High,95,1.38,11.40
solar energy system for home,INR,5000,0%,0%,High,89,2.46,18.31
net metering,INR,5000,0%,0%,Low,1,5.83,15.84
smart energy,INR,500,0%,0%,Low,5,13.31,45.79
solar installation company,INR,500,0%,0%,Low,20,6.95,55.84
new energy,INR,500,0%,0%,Low,6,18.13,94.90
going solar,INR,50,0%,0%,Low,0,,
solar power panels,INR,500,0%,0%,Medium,56,5.00,22.34
solar installation,INR,5000,0%,0%,Low,13,5.16,23.90
